class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-8.72,2.82,2.19,509.79,348.29,5.48,69.3,61.37,5.91,6.99,18.63,-2.19,0.77,12.07,60.09,12.07,60.11,144.93,60.11,-4.42,3.28,3.57,-1.73,-4.39
class-00000001,-9.86,-0.33,4.6,563.29,380.84,11.35,85.89,72,3.63,7.59,14.26,-2.04,6.49,23.77,76.92,23.77,76.94,165.5,76.94,-2.38,1.17,1.45,-1.97,-2.16
class-00000001,-10.15,-0.64,3.22,556.55,378.92,13.16,95.89,79.58,3.87,8.29,15.33,-1.89,7.36,27.39,86.31,27.39,86.33,181.75,86.33,-3.16,1.4,1.7,-1.82,-1.49
class-00000001,-8.94,-0.83,4.29,621.15,415.96,17.27,109.82,88.95,2.4,8.74,12.39,-1.77,10.77,35.58,100.13,35.58,100.15,200.47,100.16,-2.11,0.16,0.5,-1.87,-0.72
class-00000001,-9.29,-0.88,5.98,620.32,415.92,13.71,97.3,80.38,2.86,7.76,13.41,-1.78,7.88,28.49,87.78,28.49,87.8,183.17,87.8,-2.53,0.55,0.91,-1.86,-1.42
class-00000001,-9.86,-0.75,4.29,599.43,405.64,11.99,92.66,77.5,3.91,7.7,15.13,-1.95,6.24,25.07,83.03,25.07,83.05,177.75,83.05,-3.33,1.46,1.76,-1.85,-1.76
class-00000001,-10.41,-0.07,5.83,612.73,411.3,13.18,98.07,81.37,3.48,8.02,15.17,-1.9,6.89,27.43,88.24,27.44,88.26,185.73,88.26,-3.63,1.07,1.39,-1.85,-1.88
class-00000001,-9.81,-1.86,4.96,647.98,429.1,18.48,115.27,92.75,1.98,8.87,11.56,-1.45,11.49,38,105.41,38,105.43,208.2,105.43,-1.96,-0.15,0.18,-1.68,-0.4
class-00000001,-9.12,-0.17,7.94,646.37,429.83,12.98,95.41,79.19,3.54,7.98,14.49,-2.06,7.11,27.05,85.85,27.05,85.87,180.9,85.88,-3.25,1.18,1.44,-1.94,-2.44
class-00000001,-9.63,0.58,1.41,539.21,359.13,7.98,77.31,66.85,0.02,3.91,10.32,-1.63,2.89,16.86,68.03,16.86,68.05,155.69,68.06,-1.36,-2.17,-1.67,-1.9,-3.28
class-00000001,-9.03,-0.19,9.69,636.85,430.5,19.67,113.93,91.05,4.54,11.8,15.94,-2.05,13.53,40.49,104.69,40.49,104.71,204.17,104.71,-2.47,2.1,2.32,-1.81,-1.48
class-00000001,-10.19,-0.64,39.44,808.57,524.04,7.57,76.46,66.03,3.19,5.59,13.9,-1.87,2.44,16.32,67.25,16.32,67.27,154.09,67.27,-4.06,0.92,1.22,-1.8,-3.15
class-00000001,-9.11,-0.17,3.81,573.64,389.73,12.86,95.54,79.46,3.59,8.02,14.77,-2.06,6.99,26.8,85.87,26.81,85.89,181.69,85.89,-3.25,1.2,1.45,-1.94,-2.73
class-00000001,-9.09,-0.17,6.4,643.28,432.6,10.95,87.33,73.3,3.5,7.31,14.74,-2.07,5.43,23.01,78.09,23.01,78.11,168.53,78.11,-3.5,1.11,1.39,-1.98,-3.27
class-00000001,-9.93,-0.07,1.52,553.8,375.17,13.4,99.32,82.38,3.85,8.12,15.52,-2.07,7.08,27.88,89.38,27.88,89.4,187.98,89.4,-3.49,1.36,1.62,-1.93,-1.48
class-00000001,-10.85,0.76,2.53,497.96,352.42,19.83,122.1,98.18,3.85,10.98,15.59,-1.98,12.65,40.73,111.72,40.73,111.74,220.27,111.74,-2.78,1.42,1.73,-1.78,-0.5
class-00000001,-8.94,2.99,4.07,540.28,385.1,21.1,119.61,95.4,6.06,13.39,18.57,-2.17,15.23,43.38,110.03,43.38,110.05,213.63,110.05,-1.78,3.47,3.74,-1.62,0.24
class-00000001,-11.86,-0.09,1.86,463.1,322.5,15.43,105.08,86.23,0.14,6.42,8.34,-1.31,8.96,31.77,95.16,31.77,95.19,195.46,95.19,-0.71,-1.73,-1.22,-1.58,-1.54
class-00000001,-10.26,0.87,3.31,509.63,355.36,16.46,110.64,90.29,3.23,9.3,14.77,-1.78,9.54,33.96,100.44,33.96,100.46,204.18,100.46,-3.48,0.91,1.27,-1.74,-1.56
class-00000001,-9.82,-0.34,1.72,552.87,372.05,18.66,116.44,93.83,0.79,8.2,10.15,-1.22,11.48,38.21,106.43,38.21,106.46,210.58,106.46,-1.48,-1.06,-0.75,-1.62,-0.52
class-00000001,-10.73,1.81,0.63,388.7,264.01,15.35,107.36,88.33,3.92,9,15.76,-1.79,8.57,31.62,97.06,31.62,97.08,200.38,97.08,-3.51,1.44,1.69,-1.71,-1.05
class-00000001,-9.98,2.14,0.82,426.57,288.08,10.92,91.06,76.92,4.83,8.01,17.3,-1.92,4.86,22.79,81.14,22.79,81.16,177.01,81.16,-4.49,2.26,2.53,-1.69,-2.41
class-00000001,-9.41,-0.69,2.48,608.5,400.14,7.06,77.97,67.81,1.06,3.89,12,-1.65,1.29,15.07,68.28,15.07,68.3,158.26,68.3,-2.99,-1.34,-0.9,-1.81,-3.29
class-00000001,-9.66,-0.6,2.07,592.53,390.33,8.45,82.66,71.02,1.3,4.61,12.34,-1.65,2.53,17.84,72.91,17.84,72.93,164.76,72.93,-2.98,-1.09,-0.66,-1.82,-2.9
class-00000001,-9.41,-0.13,6.08,697.65,459.18,10.92,88.65,74.64,0.11,5.09,10.06,-1.35,5.08,22.84,79.15,22.84,79.17,171.66,79.17,-1.99,-1.58,-1.14,-1.55,-2.43
class-00000001,-10.01,2.1,1.49,479.7,328.52,14.74,102.4,84.34,5.13,9.85,17.36,-1.99,8.63,30.52,92.55,30.52,92.57,191.76,92.57,-3.41,2.59,2.86,-1.67,-1.35
class-00000001,-10.4,-0.5,3.74,692.39,450.9,7.71,79.27,68.59,0.6,4.01,11.41,-1.51,2.12,16.4,69.66,16.4,69.68,159.78,69.68,-2.43,-1.6,-1.12,-1.73,-3.11
class-00000001,-11.38,0.41,10.5,825.68,525.79,8.7,80.11,68.79,0.26,4.32,10.11,-1.1,3.57,18.43,70.75,18.43,70.77,159.89,70.78,-1.98,-1.52,-1.06,-1.43,-2.98
class-00000001,-9.58,0.15,3.87,593.05,400.51,12.25,92.91,77.58,2.92,7.1,13.26,-1.82,6.55,25.55,83.34,25.55,83.36,177.73,83.36,-2.88,0.62,0.95,-1.85,-1.85
class-00000001,-10.26,-0.62,5.93,596.31,403.47,12.63,93.72,77.84,1.51,6.6,11.9,-1.63,6.71,26.29,84.29,26.29,84.31,177.82,84.31,-2.3,-0.67,-0.21,-1.81,-2.18
class-00000001,-9.77,-0.34,4.48,567.08,382.77,11.77,87.29,72.96,3.66,7.79,14.4,-2.05,6.85,24.6,78.31,24.6,78.33,167.44,78.33,-2.35,1.2,1.48,-1.97,-2.04
class-00000001,-9.61,-0.57,4.57,591.85,397.18,11.76,86.39,72.2,3.66,7.88,14.29,-2.02,7.01,24.59,77.52,24.59,77.54,165.73,77.54,-2.29,1.2,1.5,-1.95,-2.27
class-00000001,-10.25,-1.38,7.3,668.33,445.09,12.68,95.78,79.67,1.55,6.47,11.92,-1.54,6.51,26.4,86.06,26.41,86.08,182.08,86.08,-2.4,-0.66,-0.15,-1.75,-1.88
class-00000001,-10.83,-0.73,5.73,572.38,389.91,11.14,89.11,74.78,3.72,7.59,15.44,-2.25,5.34,23.37,79.69,23.37,79.71,171.84,79.71,-3.86,1.18,1.46,-2.07,-2.9
class-00000001,-9.28,-0.18,5.01,618.56,417.97,12.04,91.58,76.53,3.93,7.9,15.26,-1.99,6.54,25.2,82.11,25.2,82.13,175.53,82.13,-3.12,1.46,1.75,-1.88,-1.81
class-00000001,-10.85,-0.77,12.43,630.27,431.06,11.7,90.85,75.94,4.47,8.32,16.44,-2.33,5.98,24.57,81.42,24.57,81.44,174.26,81.44,-3.86,1.89,2.16,-2.05,-2.68
